,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Bank
0,1590317379988643841,1590317379988643841,1667996184000.0,2022-11-09 13:16:24,+0100,,for the past  days now my complaints is yet to be resolved  is not connecting whatsapp messenger is an error too this is not just good it bad,en,[],[],2261905696,2261905696,sdeenworld,ADEYEMI SHERIFFDEEN,3,13,https://twitter.com/sdeenworld/status/1590317379988643841,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,[],,,,,Guarantee Trust Bank
2,1590317210551349254,1590294937043873794,1667996144000.0,2022-11-09 13:15:44,+0100,,gtbank eze samson chinemeremogo  thank u sir,en,[],[],1579994092053958658,1579994092053958658,EzeSams49773090,Eze Samson,3,13,https://twitter.com/EzeSams49773090/status/1590317210551349254,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'SciDamola', 'name': 'Sci. Damola', 'id': '1571913498409541633'}]",,,,,Guarantee Trust Bank
3,1590317196076453888,1590317196076453888,1667996140000.0,2022-11-09 13:15:40,+0100,,lmao honestly nothing concern gtb with banking the most worst,en,[],[],1392735926,1392735926,Kovnificent,Kov$,3,13,https://twitter.com/Kovnificent/status/1590317196076453888,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,[],,,,,Guarantee Trust Bank
12,1590316768417157122,1590316750574616577,1667996038000.0,2022-11-09 13:13:58,+0100,,her years of success in her former roles led to her appointment by the gtb as executive director in  the position she held until july   when she was appointed as gtcos first female managing director,en,[],[],703296226633056256,703296226633056256,partnersnigeria,PWANigeria,3,13,https://twitter.com/partnersnigeria/status/1590316768417157122,[],[],0,,False,0,1,0,,gtb OR \ gtbank,,,,,,,[],,,,,Guarantee Trust Bank
13,1590316760091471872,1590316750574616577,1667996036000.0,2022-11-09 13:13:56,+0100,,she has led a team to succeed in securing the appointment of the gtb as a primary dealer market maker in federal government of nigeria fgn bonds with the debt management office dmo,en,[],[],703296226633056256,703296226633056256,partnersnigeria,PWANigeria,3,13,https://twitter.com/partnersnigeria/status/1590316760091471872,[],[],0,,False,0,1,0,,gtb OR \ gtbank,,,,,,,[],,,,,Guarantee Trust Bank
14,1590316755255447552,1590316750574616577,1667996035000.0,2022-11-09 13:13:55,+0100,,she joined gtbank as an executive trainee in  and by  she became gtbs chief dealer within a year she rose to become treasurer responsible for managing local and foreign currency trading desks in,en,[],[],703296226633056256,703296226633056256,partnersnigeria,PWANigeria,3,13,https://twitter.com/partnersnigeria/status/1590316755255447552,[],[],0,,False,0,1,0,,gtb OR \ gtbank,,,,,,,[],,,,,Guarantee Trust Bank
15,1590316750574616577,1590316750574616577,1667996034000.0,2022-11-09 13:13:54,+0100,,our wcw for today is miriam olusanya she is the managing director of guaranty trust bank plc gtbank she is an accomplished banker with over  years of experience spanning transaction services treasury assets amp liability management corporate finance amp wholesale banking,en,[],[],703296226633056256,703296226633056256,partnersnigeria,PWANigeria,3,13,https://twitter.com/partnersnigeria/status/1590316750574616577,[],['https://pbs.twimg.com/media/FhHwouqWIAAOIND.jpg'],1,https://pbs.twimg.com/media/FhHwouqWIAAOIND.jpg,False,0,1,0,,gtb OR \ gtbank,,,,,,,[],,,,,Guarantee Trust Bank
16,1590316659763736582,1590316659763736582,1667996012000.0,2022-11-09 13:13:32,+0100,,as i enter my gtbank app to transfer ghc  this morning  as i see e levy ghc   charges ghc  total ghc   i laughed in capital letters and aborted mission i no do transfer again,en,[],[],2229340407,2229340407,temispeakz,TemiDayo,3,13,https://twitter.com/temispeakz/status/1590316659763736582,[],[],0,,False,1,1,0,,gtb OR \ gtbank,,,,,,,[],,,,,Guarantee Trust Bank
19,1590316292543692800,1590313759553515521,1667995925000.0,2022-11-09 13:12:05,+0100,,dope,en,[],[],1571121770349879296,1571121770349879296,Crane849539591,Crand GTB,3,13,https://twitter.com/Crane849539591/status/1590316292543692800,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'Jayecane', 'name': 'JAYE CANE', 'id': '35837162'}]",,,,,Guarantee Trust Bank
20,1590316253914497024,1590314067184734208,1667995916000.0,2022-11-09 13:11:56,+0100,,gtb god fit use u too,en,[],[],1485602902018347009,1485602902018347009,heirprince19,Emmanuel,3,13,https://twitter.com/heirprince19/status/1590316253914497024,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': '_stoplaying', 'name': 'Young 20 🛐', 'id': '1460682904409976843'}, {'screen_name': 'Ekitipikin', 'name': 'Mayor Of Ekiti', 'id': '1035513929164832768'}]",,,,,Guarantee Trust Bank
