,date,tweet,nlikes,Bank,Subjectivity,Polarity,Analysis
0,2022-11-09 13:16:24,for the past  days now my complaints is yet to be resolved  is not connecting whatsapp messenger is an error too this is not just good it bad,0,Guarantee Trust Bank,0.5055555555555555,-0.0833333333333333,Negative
2,2022-11-09 13:15:44,gtbank eze samson chinemeremogo  thank u sir,0,Guarantee Trust Bank,0.0,0.0,Neutral
3,2022-11-09 13:15:40,lmao honestly nothing concern gtb with banking the most worst,0,Guarantee Trust Bank,0.85,0.175,Positive
12,2022-11-09 13:13:58,her years of success in her former roles led to her appointment by the gtb as executive director in  the position she held until july   when she was appointed as gtcos first female managing director,0,Guarantee Trust Bank,0.125,0.1375,Positive
13,2022-11-09 13:13:56,she has led a team to succeed in securing the appointment of the gtb as a primary dealer market maker in federal government of nigeria fgn bonds with the debt management office dmo,0,Guarantee Trust Bank,0.5,0.4,Positive
14,2022-11-09 13:13:55,she joined gtbank as an executive trainee in  and by  she became gtbs chief dealer within a year she rose to become treasurer responsible for managing local and foreign currency trading desks in,0,Guarantee Trust Bank,0.40625,0.16875,Positive
15,2022-11-09 13:13:54,our wcw for today is miriam olusanya she is the managing director of guaranty trust bank plc gtbank she is an accomplished banker with over  years of experience spanning transaction services treasury assets amp liability management corporate finance amp wholesale banking,0,Guarantee Trust Bank,0.25,0.1,Positive
16,2022-11-09 13:13:32,as i enter my gtbank app to transfer ghc  this morning  as i see e levy ghc   charges ghc  total ghc   i laughed in capital letters and aborted mission i no do transfer again,1,Guarantee Trust Bank,0.475,0.35,Positive
19,2022-11-09 13:12:05,dope,0,Guarantee Trust Bank,0.0,0.0,Neutral
20,2022-11-09 13:11:56,gtb god fit use u too,0,Guarantee Trust Bank,0.4,0.4,Positive
22,2022-11-09 13:11:19,wetin dey happen with payment na what is account activity verification again,1,Guarantee Trust Bank,0.0,0.0,Neutral
25,2022-11-09 13:10:26,ur gtconnect numbers are not connecting i need to talk to someone i have an issues that is yet to be resolved ur customer service is an error now,1,Guarantee Trust Bank,0.0,0.0,Neutral
27,2022-11-09 13:10:18,paystack can be used for card payments bank transfer gtb  and visa qr  login to your naijabet account click on deposit fund and select paystack  deposit now,0,Guarantee Trust Bank,0.0,0.0,Neutral
28,2022-11-09 13:10:07,god bless you boss    gtb,0,Guarantee Trust Bank,0.0,0.0,Neutral
31,2022-11-09 13:09:06,this life no balance at all me still dey find k wey i go fund my sporty  mayor dey get mili plus for sporty acct  you no show love o  gtb do your guy something,0,Guarantee Trust Bank,0.6,0.5,Positive
33,2022-11-09 13:08:47,boss pls i have never received too   gtb thanks,0,Guarantee Trust Bank,0.2,0.2,Positive
34,2022-11-09 13:08:42,good day i complained of a dispense error on a local pos on th march  i have complained severally but nothing has been done about it since then do i have to get to one of your branch to get this resolved,1,Guarantee Trust Bank,0.2,0.019999999999999997,Positive
38,2022-11-09 13:07:30,number  my details is  gtb,0,Guarantee Trust Bank,0.0,0.0,Neutral
39,2022-11-09 13:07:29,gtb god will continue to bless u,0,Guarantee Trust Bank,0.0,0.0,Neutral
40,2022-11-09 13:07:05,ive been here for weeks now it like im giving up i hope i get one today gtb unekuojo,0,Guarantee Trust Bank,0.0,0.0,Neutral
41,2022-11-09 13:06:50,sure it will i tried to send my account details alongside the tweet i replied to you but it wasnt going let me try resending bro any assistance will be much appreciated  gtbank,0,Guarantee Trust Bank,0.4944444444444444,0.35,Positive
42,2022-11-09 13:06:45,where is my money,2,Guarantee Trust Bank,0.0,0.0,Neutral
45,2022-11-09 13:06:24,chairman we have done all wat u asked us to do o still waiting for ur part of the giveaway i know say u no fit forget ur promise but i still say make i remind you     gtb  thank you sir  more winnings,0,Guarantee Trust Bank,0.45,0.15,Positive
49,2022-11-09 13:05:23,oko sunday acct  gtbank,0,Guarantee Trust Bank,0.0,0.0,Neutral
52,2022-11-09 13:05:12,gtbank  i don drop my own o on god,0,Guarantee Trust Bank,1.0,0.6,Positive
54,2022-11-09 13:05:04,my own is  gtb i dey follow you like tommorrow no dey no fall my hand,0,Guarantee Trust Bank,1.0,0.6,Positive
60,2022-11-09 13:03:43,account number  account name oladosu olamide rokeeb  bank gtbank,0,Guarantee Trust Bank,0.0,0.0,Neutral
63,2022-11-09 13:03:24,abeg pick me  gtb nwankwo elvisi have been following you for a long while havent gotten lucky enough to win from your games or giveaway but today i know say you go see me today credit me,0,Guarantee Trust Bank,0.44666666666666666,0.2166666666666667,Positive
64,2022-11-09 13:03:16,gtbank lucy jonah,0,Guarantee Trust Bank,0.0,0.0,Neutral
67,2022-11-09 13:02:17,gtb please i never chop since morning,0,Guarantee Trust Bank,0.0,0.0,Neutral
68,2022-11-09 13:02:02,pleae refund my hard earned money it been a month now and they are not responding tossing around,2,Guarantee Trust Bank,0.5416666666666666,-0.2916666666666667,Negative
70,2022-11-09 13:01:28,transport and breakfast oooo  gtbank  hussaini haruna,0,Guarantee Trust Bank,0.0,0.0,Neutral
71,2022-11-09 13:01:22,gtb ejoor baba  someone needs it so so dearly,0,Guarantee Trust Bank,0.0,0.0,Neutral
72,2022-11-09 13:00:41,gtb ejoor baba  someone needs it so so dearly,0,Guarantee Trust Bank,0.0,0.0,Neutral
76,2022-11-09 12:58:55,gtbank  thank u,0,Guarantee Trust Bank,0.0,0.0,Neutral
78,2022-11-09 12:58:31,please boss remember me things are very hard my house rent payment sir is this month please boss bless me  gtbank ngarlemwale abraham a,0,Guarantee Trust Bank,0.7041666666666666,-0.3791666666666667,Negative
79,2022-11-09 12:58:22,boss remember me todaythe house rent palava for my head too choke me support me abeg  gtbank  ejiofor obinna cajetan,1,Guarantee Trust Bank,0.0,0.0,Neutral
83,2022-11-09 12:57:29,gtbank rogho akpoidolor e  thank you very much i have been following and obeying all rules yet nothing just look my side and show me love,0,Guarantee Trust Bank,0.32,0.25333333333333335,Positive
86,2022-11-09 12:56:18,say  winnersand na over k comments i dey see chai make i put my akant with faith   olaseni bello gtb,0,Guarantee Trust Bank,0.0,0.0,Neutral
88,2022-11-09 12:56:14,gtbank rogho akpoidolor e  thank you very much  i have never been credited before,0,Guarantee Trust Bank,0.26,0.26,Positive
90,2022-11-09 12:56:01,gtbank better late than never,0,Guarantee Trust Bank,0.55,0.1,Positive
91,2022-11-09 12:55:59,it will go a long way  gtbank,0,Guarantee Trust Bank,0.4,-0.05,Negative
94,2022-11-09 12:55:28,i am here and  i need the money so badly  gtbank,0,Guarantee Trust Bank,0.6666666666666666,-0.6999999999999998,Negative
96,2022-11-09 12:54:30,amen,0,Guarantee Trust Bank,0.0,0.0,Neutral
97,2022-11-09 12:54:00,gtb thanks,0,Guarantee Trust Bank,0.2,0.2,Positive
99,2022-11-09 12:53:16,gtb thank you so much,0,Guarantee Trust Bank,0.2,0.2,Positive
100,2022-11-09 12:53:12,hello i was debited on saturday for a transaction via pos and i am yet to get a refund please respond asap,2,Guarantee Trust Bank,0.0,0.0,Neutral
107,2022-11-09 12:50:26,hi thank you for reaching out to us kindly send us a direct message  with your enquirycomplaint to enable us be of assistance to you thank you,0,Guarantee Trust Bank,0.65,0.35,Positive
108,2022-11-09 12:50:22,gtb thank you,0,Guarantee Trust Bank,0.0,0.0,Neutral
110,2022-11-09 12:50:07,port to gtbank its  still remain d number one in nigeria dear,0,Guarantee Trust Bank,0.0,0.0,Neutral
115,2022-11-09 12:48:51,gtbank i pray is my turn this time may god enrich your pocket,0,Guarantee Trust Bank,0.0,0.0,Neutral
116,2022-11-09 12:48:45,your analysis was ok till you inserted gtb,0,Guarantee Trust Bank,0.5,0.5,Positive
117,2022-11-09 12:48:31,av always been dropping but it never get to my turn let it be my turn ds time  plsss  gtb,0,Guarantee Trust Bank,0.0,0.0,Neutral
118,2022-11-09 12:48:29,gtb thank you bro,0,Guarantee Trust Bank,0.0,0.0,Neutral
121,2022-11-09 12:47:38,im sorry about yesterday but truth be told personally never experienced any quality shege from gtbank and dont wish to,0,Guarantee Trust Bank,0.95,-0.45,Negative
123,2022-11-09 12:46:54,i always tort of dt  i av never been credited dt i always wonder maybe u arent seeing it at all  gtb abeg,0,Guarantee Trust Bank,0.0,0.0,Neutral
128,2022-11-09 12:45:51,sportingking   gtb  i will for ever be grateful  exspecially now that i need money for my school thanks god bless u sir,0,Guarantee Trust Bank,0.2,0.2,Positive
131,2022-11-09 12:45:32,oboy both,0,Guarantee Trust Bank,0.0,0.0,Neutral
134,2022-11-09 12:44:43,gtb thank you sir,0,Guarantee Trust Bank,0.0,0.0,Neutral
136,2022-11-09 12:44:25,let me drop this again   gtb,0,Guarantee Trust Bank,0.0,0.0,Neutral
137,2022-11-09 12:44:11,do you need help with any of our products and services  tweet us  or visit,2,Guarantee Trust Bank,0.0,0.0,Neutral
141,2022-11-09 12:43:30,im so say listening to music to gtb guh how you gon fall asleep to vulture island tayoni bffr,0,Guarantee Trust Bank,0.0,0.0,Neutral
143,2022-11-09 12:43:18,thank you bro,1,Guarantee Trust Bank,0.0,0.0,Neutral
145,2022-11-09 12:42:41,today is  my lucky day  gtb,0,Guarantee Trust Bank,0.8333333333333334,0.3333333333333333,Positive
146,2022-11-09 12:42:06,boss abeg shame no go catch you please show me love gtbank  felix idubor,0,Guarantee Trust Bank,0.6,0.5,Positive
149,2022-11-09 12:41:10,gtb paul martins,0,Guarantee Trust Bank,0.0,0.0,Neutral
150,2022-11-09 12:40:40,god i beg let him pick me today obasola olasubomi tobiloba gtbank,0,Guarantee Trust Bank,0.0,0.0,Neutral
151,2022-11-09 12:40:29,boss am hoping wit my full chest godbless sportingking godbless mr bayo godbless all other amiable punter helping the street  gtbank onyekachi c,0,Guarantee Trust Bank,0.4625,0.11249999999999999,Positive
155,2022-11-09 12:39:26,penxil i hope you havent reply to the tweet of those thieves who parades themselves as gtb dont text any of the said numbers bro all gtb handles are all verified,3,Guarantee Trust Bank,0.0,0.0,Neutral
156,2022-11-09 12:39:26,gtbank god bless you,0,Guarantee Trust Bank,0.0,0.0,Neutral
157,2022-11-09 12:39:19,please help me with k to eat this morning  i swear i no chop last night  this morning too person never chop  make person no die of hunger abeg    akinpelu victor akinsola gtb thanks in advance sir,1,Guarantee Trust Bank,0.13333333333333333,0.1,Positive
160,2022-11-09 12:38:49,it nonsense abegi na switzerland he go deposit sha  go and steal and deposit bn inside your gtbank account and see what will happen  all the politians way efcc dey carry dem no dey ever get evidence from local bank why  they keep it abroad or in a room or underground,1,Guarantee Trust Bank,0.0,0.0,Neutral
161,2022-11-09 12:38:46,gtb bosslook my side today,0,Guarantee Trust Bank,0.0,0.0,Neutral
164,2022-11-09 12:37:55,my acct details  acct name awofolaju oluwatosin gtb i will use d money to pay for my children school fees god bless u in advance,0,Guarantee Trust Bank,0.0,0.0,Neutral
166,2022-11-09 12:37:19,oya naaaaa sportingking  pls see my akant number  for gtbank dazz all abi thank you,0,Guarantee Trust Bank,0.0,0.0,Neutral
168,2022-11-09 12:37:02,congratulations to you i pray to be among the fortunate  name joseph emmanuel oluwatobi acct no  gtb,0,Guarantee Trust Bank,0.7,0.4,Positive
173,2022-11-09 12:35:51,gtbank eboh izuchukwu franklin  more blessings follow you,0,Guarantee Trust Bank,0.5,0.5,Positive
185,2022-11-09 12:33:26,i will just pay for my remaining balance in where im learning work  thank u boss  gtbank eze samson chinemeremogo,0,Guarantee Trust Bank,0.0,0.0,Neutral
190,2022-11-09 12:32:25,i will add the k to the one i have to buy belgium laptop for my autocad engineering  training the need is urgent  gtb bank,1,Guarantee Trust Bank,0.0,0.0,Neutral
193,2022-11-09 12:31:40,i will use it to pay part of my house rent god bless the giver amen  ani anastasia chidinma   gtbank,0,Guarantee Trust Bank,0.0,0.0,Neutral
194,2022-11-09 12:31:34,pls i have been following and dropping my account number but nothing  but remember me today    gtbank eze samson chinemeremogo,1,Guarantee Trust Bank,0.1,0.0,Neutral
195,2022-11-09 12:31:28,bossman im on god pls notice me too it been a while now since i have been dropping my account details hoping that you will put a smile on my face by seeing your alert vibrate on the screen of my phone im still hoping sir  o gtb mohammed abdulraheem olamide,0,Guarantee Trust Bank,0.1,0.3,Positive
